Names,Website,Phone Number,Address,Review Count,Average Review Count,Latitude,Longtitude
TownePlace Suites by Marriott Albany Downtown/Medical Center,marriott.com,(518) 860-1500,"22 Holland Ave, Albany, NY 12209",478,4.2,42.64632121,-73.77216306
Days Inn by Wyndham Albany SUNY,wyndhamhotels.com,(518) 992-7581,"1230 Western Ave, Albany, NY 12203",489,3.5,42.67791589,-73.8289721
Hampton Inn Albany-Wolf Road (Airport),hilton.com,(518) 438-2822,"10 Ulenski Dr, Albany, NY 12205",771,4.1,42.72482346,-73.79546041
Comfort Inn Glenmont - Albany South,choicehotels.com,(518) 362-1076,"37 Rte 9W, Glenmont, NY 12077",503,3.9,42.62269598,-73.77838377
La Quinta Inn & Suites by Wyndham Latham Albany Airport,wyndhamhotels.com,(518) 640-2200,"833 Loudon Rd, Latham, NY 12110",812,4,42.75095033,-73.75900604
"Holiday Inn Express & Suites East Greenbush(Albany-Skyline), an IHG Hotel",ihg.com,(518) 286-1011,"8 Empire Dr, Rensselaer, NY 12144",448,4.1,42.63226891,-73.70174883
"74 State, an Ascend Hotel Collection Member",ascendcollection.com,(518) 434-7410,"74 State St, Albany, NY 12207",16,4.5,42.64934746,-73.7524163
Hampton Inn & Suites Albany-Airport,hilton.com,(518) 782-7500,"45 British American Blvd, Latham, NY 12110",561,4.3,42.76831722,-73.82008182
Extended Stay America - Albany - SUNY,extendedstayamerica.com,(518) 446-0680,"1395 Washington Ave, Albany, NY 12206",474,3.3,42.68869323,-73.81705147
SpringHill Suites by Marriott Albany-Colonie,marriott.com,(518) 724-7999,"8 California Ave, Albany, NY 12205",531,4.1,42.70406711,-73.81531851
Homewood Suites by Hilton Albany Crossgates Mall,hilton.com,(518) 704-4040,"1651 Western Ave, Albany, NY 12203",334,4.3,42.68700621,-73.85229044
Residence Inn by Marriott Albany Washington Avenue,marriott.com,(518) 218-7240,"124 Washington Ave Ext, Albany, NY 12203",527,4.3,42.69270096,-73.85013213
Tru by Hilton Albany Airport,hilton.com,(518) 801-0600,"798 Albany Shaker Rd, Albany, NY 12211",535,4.5,42.74535284,-73.81920122
Fairfield Inn & Suites by Marriott Albany East Greenbush,marriott.com,(518) 477-7984,"124 Troy Rd, East Greenbush, NY 12061",449,4.1,42.62552235,-73.69901622
Quality Inn Central,choicehotels.com,(518) 456-8811,"1632 Central Ave, Albany, NY 12205",528,3.6,42.71939108,-73.83693715
Four Points by Sheraton Albany,marriott.com,(518) 949-2220,"3 Mount Hope Way, Albany, NY 12202",143,3.9,42.62962358,-73.77449024
Home2 Suites by Hilton Albany Airport/Wolf Rd,hilton.com,(518) 482-4045,"10 Metro Park Rd, Albany, NY 12205",500,4.2,42.7188126,-73.79965258
Washington Park Inn,washingtonparkinn.com,(518) 930-4747,"634 Madison Ave, Albany, NY 12208",96,4.4,42.65643291,-73.77517788
Red Roof Inn Albany Airport,redroof.com,(518) 459-1971,"188 Wolf Rd, Albany, NY 12205",871,3.3,42.72387295,-73.80182642
SureStay Plus By Best Western Albany Airport,bestwestern.com,(518) 458-1000,"200 Wolf Rd, Albany, NY 12205",1355,3.1,42.72521422,-73.80014233
"Staybridge Suites Albany Wolf Rd-Colonie Center, an IHG Hotel",ihg.com,(518) 438-3300,"39 Wolf Rd, Albany, NY 12205",619,4.6,42.71304926,-73.81119546
Courtyard by Marriott Albany Airport,marriott.com,(518) 319-8700,"227 Wolf Rd, Albany, NY 12205",299,4.4,42.72564149,-73.79535275
Fairfield Inn by Marriott Albany University Area,marriott.com,(518) 435-1800,"1383 Washington Ave, Albany, NY 12206",517,3.8,42.68780887,-73.81525039
Courtyard by Marriott Albany Troy/Waterfront,marriott.com,(518) 240-1000,"515 River St, Troy, NY 12180",424,4.5,42.73853567,-73.68681551
The Argus Hotel & Cocktail Lounge,theargushotel.com,(518) 930-4700,"8 Thurlow Terrace, Albany, NY 12203",98,4.4,42.65971605,-73.77384829
