Agency Case Number,Report Date,Time of Crime,Occur Begin Day,Occur Begin Date,Occur Begin Time,Occur End Day,Occur End Date,Occur End Time,Crime Class,Incident Type,UCR,Long ID,Crime Attempt,Class Description,Last 30 Days,Neighborhood Association,Neighborhood,X,Y,ZIPCODE
APD*22049670,04/13/2022 12:00:00 AM,22,WED,04/13/2022 12:00:00 AM,22:20,WED,04/13/2022 12:00:00 AM,22:20,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON DOM VIOLENCE,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22049402,04/13/2022 12:00:00 AM,8,FRI,04/01/2022 12:00:00 AM,8:00,WED,04/13/2022 12:00:00 AM,13:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM MOTOR VEHICLE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22035587,03/16/2022 12:00:00 AM,10,SUN,02/06/2022 12:00:00 AM,10:00,TUE,03/15/2022 12:00:00 AM,17:00,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,6,1553500DF3,No,THEFT FROM BUILDING,FALSE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22049667,04/13/2022 12:00:00 AM,22,WED,04/13/2022 12:00:00 AM,22:24,WED,04/13/2022 12:00:00 AM,22:24,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22076659,06/04/2022 12:00:00 AM,19,SAT,06/04/2022 12:00:00 AM,19:40,SAT,06/04/2022 12:00:00 AM,19:53,PL,ROBBERY-3RD,3,1600500DF3,No,,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22076294,06/04/2022 12:00:00 AM,2,SAT,06/04/2022 12:00:00 AM,2:34,SAT,06/04/2022 12:00:00 AM,2:34,PL,DISOBEY MANDATE EXC  JL 753A-2,33,2155003AM2,No,PERSON DOM VIOLENCE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22076282,06/04/2022 12:00:00 AM,1,SAT,06/04/2022 12:00:00 AM,1:15,SAT,06/04/2022 12:00:00 AM,1:20,PL,ROB-2/PHY INJ OR DISP FRARM,3,1601002CF2,No,,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22049370,04/13/2022 12:00:00 AM,16,SUN,04/10/2022 12:00:00 AM,16:00,SUN,04/10/2022 12:00:00 AM,16:00,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22027780,02/28/2022 12:00:00 AM,2,MON,02/28/2022 12:00:00 AM,2:40,MON,02/28/2022 12:00:00 AM,2:40,PL,OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE,24,121110AAM0,No,UNKNOWN,FALSE,Sheridan Hollow,POINT,-73.75740728,42.65668958,12210
APD*22028183,02/28/2022 12:00:00 AM,19,MON,02/28/2022 12:00:00 AM,19:00,MON,02/28/2022 12:00:00 AM,19:10,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22028108,02/28/2022 12:00:00 AM,16,MON,02/28/2022 12:00:00 AM,16:25,MON,02/28/2022 12:00:00 AM,16:25,PL,OBSTRUCT GOVERNMENTL ADMIN 2ND,33,1950500AM2,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22025107,02/28/2022 12:00:00 AM,0,SAT,02/19/2022 12:00:00 AM,0:00,SUN,02/20/2022 12:00:00 AM,23:59,PL,HARASSMENT 2ND,33,24026030V2,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22028181,02/28/2022 12:00:00 AM,15,MON,02/28/2022 12:00:00 AM,15:00,MON,02/28/2022 12:00:00 AM,15:30,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22028048,02/28/2022 12:00:00 AM,14,MON,02/28/2022 12:00:00 AM,14:30,MON,02/28/2022 12:00:00 AM,14:40,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22049624,04/13/2022 12:00:00 AM,20,WED,04/13/2022 12:00:00 AM,20:24,WED,04/13/2022 12:00:00 AM,20:49,PL,ASLT W/INT CAUS PH INJ TO OFF,4,1200503DF2,No,PERSON POLICE OFFICER,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22049643,04/13/2022 12:00:00 AM,21,WED,04/13/2022 12:00:00 AM,21:00,WED,04/13/2022 12:00:00 AM,21:09,PL,BURG:W/CRI INT - DWELLING,5,1402502CF2,No,,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*21165392,12/06/2021 12:00:00 AM,14,MON,12/06/2021 12:00:00 AM,14:09,MON,12/06/2021 12:00:00 AM,16:30,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,DOMESTIC VIOLENCE RELATED,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22069449,05/22/2022 12:00:00 AM,19,SUN,05/22/2022 12:00:00 AM,19:46,SUN,05/22/2022 12:00:00 AM,19:46,PL,BURGLARY 3RD,5,1402000DF3,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22069200,05/22/2022 12:00:00 AM,11,SUN,05/22/2022 12:00:00 AM,11:20,SUN,05/22/2022 12:00:00 AM,11:20,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,DOMESTIC VIOLENCE RELATED,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*21165609,12/06/2021 12:00:00 AM,22,MON,12/06/2021 12:00:00 AM,22:12,MON,12/06/2021 12:00:00 AM,22:12,PL,MENACING 3RD,24,1201500BM3,No,DOMESTIC VIOLENCE RELATED,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22028104,02/28/2022 12:00:00 AM,2,FRI,02/25/2022 12:00:00 AM,2:00,FRI,02/25/2022 12:00:00 AM,4:00,PL,BURG:W/CRI INT - DWELLING,5,1402502CF2,No,,FALSE,Historic Pastures Homeowners Association,POINT,-73.75410644,42.64391573,12202
APD*22028192,02/28/2022 12:00:00 AM,8,SUN,02/13/2022 12:00:00 AM,8:00,FRI,02/25/2022 12:00:00 AM,8:00,PL,BURG:W/CRI INT - DWELLING,5,1402502CF2,No,,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22076448,06/04/2022 12:00:00 AM,22,FRI,06/03/2022 12:00:00 AM,22:00,SAT,06/04/2022 12:00:00 AM,8:00,PL,GR LAR 4-VALUE PROPERTY GREATER THAN $1000,7,1553001EF4,No,MOTOR VEHICLE THEFT,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22076405,06/04/2022 12:00:00 AM,17,MON,04/18/2022 12:00:00 AM,17:45,MON,04/18/2022 12:00:00 AM,17:45,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22028023,02/28/2022 12:00:00 AM,13,MON,02/28/2022 12:00:00 AM,13:00,MON,02/28/2022 12:00:00 AM,13:29,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22036305,03/17/2022 12:00:00 AM,21,THU,03/17/2022 12:00:00 AM,21:50,THU,03/17/2022 12:00:00 AM,21:57,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON DOM VIOLENCE,FALSE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22027808,02/28/2022 12:00:00 AM,6,MON,02/28/2022 12:00:00 AM,6:00,MON,02/28/2022 12:00:00 AM,6:00,PL,RIOT-1ST: CAUSE PUBLIC ALARM AND INJURY OR PROPERTY DAMAGE,22,2400601EF1,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22035959,03/17/2022 12:00:00 AM,17,WED,03/16/2022 12:00:00 AM,17:00,THU,03/17/2022 12:00:00 AM,7:30,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*21165387,12/06/2021 12:00:00 AM,13,MON,12/06/2021 12:00:00 AM,13:55,MON,12/06/2021 12:00:00 AM,13:55,PL,AGG/HAR INTENT HARASS ANNOY/ COMM. ANNON,999,2403001AAM2,No,PERSON,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22036074,03/17/2022 12:00:00 AM,23,WED,03/16/2022 12:00:00 AM,23:30,THU,03/17/2022 12:00:00 AM,13:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*21165370,12/06/2021 12:00:00 AM,13,MON,12/06/2021 12:00:00 AM,13:10,MON,12/06/2021 12:00:00 AM,13:13,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22036275,03/17/2022 12:00:00 AM,20,THU,03/17/2022 12:00:00 AM,20:41,THU,03/17/2022 12:00:00 AM,20:41,PL,ASSAULT -2ND,4,1200500DF2,No,PERSON DOM VIOLENCE,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22028227,02/28/2022 12:00:00 AM,21,MON,02/28/2022 12:00:00 AM,21:16,MON,02/28/2022 12:00:00 AM,21:16,PL,MENACING 2ND,4,1201400AM2,No,DOMESTIC VIOLENCE RELATED,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22049573,04/13/2022 12:00:00 AM,18,WED,04/13/2022 12:00:00 AM,18:26,WED,04/13/2022 12:00:00 AM,18:26,PL,CRIMINAL POSSESSION OF A WEAPON-2ND DEGREE: LOADED FIREARM,11,265031BCF2,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22115025,08/13/2022 12:00:00 AM,17,SAT,08/13/2022 12:00:00 AM,17:45,SAT,08/13/2022 12:00:00 AM,17:45,PL,CRIM CONTEMPT-1ST-PHY CONTACT,24,21551B5EF1,No,,FALSE,Washington Park,POINT,-73.77088465,42.65723655,12202
APD*22150059,10/16/2022 12:00:00 AM,10,THU,10/13/2022 12:00:00 AM,10:30,SUN,10/16/2022 12:00:00 AM,11:00,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,TRUE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22036056,03/17/2022 12:00:00 AM,10,THU,03/17/2022 12:00:00 AM,10:00,THU,03/17/2022 12:00:00 AM,11:00,PL,AGG/HAR INTENT HARASS ANNOY/ COMM. ANNON,999,2403001AAM2,No,PERSON,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*21165201,12/06/2021 12:00:00 AM,0,MON,12/06/2021 12:00:00 AM,0:00,MON,12/06/2021 12:00:00 AM,0:00,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Mansion,POINT,-73.7586478,42.64515202,12202
APD*22035895,03/17/2022 12:00:00 AM,3,THU,03/17/2022 12:00:00 AM,3:30,THU,03/17/2022 12:00:00 AM,5:00,PL,STRANGULATION 2ND-OBSTRUCT BREATH/BLOOD CIRC-CAUSE PHYS INJ,4,1211200DF2,No,UNKNOWN,FALSE,Hudson Park,POINT,-73.76602553,42.65100307,12210
APD*22049225,04/13/2022 12:00:00 AM,2,FRI,01/07/2022 12:00:00 AM,2:10,THU,02/03/2022 12:00:00 AM,2:10,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,6,1553500DF3,No,THEFT FROM BUILDING,FALSE,Washington Park,POINT,-73.77088465,42.65723655,12202
APD*22036215,03/17/2022 12:00:00 AM,17,THU,03/17/2022 12:00:00 AM,17:20,THU,03/17/2022 12:00:00 AM,18:00,PL,ASLT W/INT CAUS SER INJ W/WEAP,4,1201001BF1,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22001768,01/04/2022 12:00:00 AM,16,TUE,01/04/2022 12:00:00 AM,16:25,TUE,01/04/2022 12:00:00 AM,16:30,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,7,1553500DF3,No,MOTOR VEHICLE THEFT,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22069463,05/22/2022 12:00:00 AM,22,SAT,05/21/2022 12:00:00 AM,22:00,SAT,05/21/2022 12:00:00 AM,6:30,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM MOTOR VEHICLE,FALSE,Center Square,POINT,-73.76329474,42.65410976,12210
APD*22036111,03/17/2022 12:00:00 AM,14,THU,03/17/2022 12:00:00 AM,14:22,THU,03/17/2022 12:00:00 AM,15:06,PL,CRIM CONTEMPT 1/PRIOR CONV,24,215510CEF1,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22108474,08/02/2022 12:00:00 AM,1,TUE,08/02/2022 12:00:00 AM,1:26,TUE,08/02/2022 12:00:00 AM,2:49,PL,BURG:W/CRI INT - DWELLING,5,1402502CF2,No,,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22108915,08/02/2022 12:00:00 AM,12,WED,07/13/2022 12:00:00 AM,12:00,WED,07/13/2022 12:00:00 AM,15:00,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*21165393,12/06/2021 12:00:00 AM,14,MON,12/06/2021 12:00:00 AM,14:05,MON,12/06/2021 12:00:00 AM,14:05,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22026989,02/26/2022 12:00:00 AM,8,SAT,02/26/2022 12:00:00 AM,8:55,SAT,02/26/2022 12:00:00 AM,9:20,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22036206,03/17/2022 12:00:00 AM,17,THU,03/17/2022 12:00:00 AM,17:50,THU,03/17/2022 12:00:00 AM,17:50,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Historic Pastures Homeowners Association,POINT,-73.75410644,42.64391573,12202
APD*22027132,02/26/2022 12:00:00 AM,13,SAT,02/26/2022 12:00:00 AM,13:44,SAT,02/26/2022 12:00:00 AM,13:47,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22076682,06/04/2022 12:00:00 AM,20,SAT,06/04/2022 12:00:00 AM,20:31,SAT,06/04/2022 12:00:00 AM,20:31,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22036167,03/17/2022 12:00:00 AM,16,THU,03/17/2022 12:00:00 AM,16:26,THU,03/17/2022 12:00:00 AM,16:26,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Ten Broeck Triangle Preservation League,POINT,-73.75119995,42.65693726,12210
APD*22069085,05/22/2022 12:00:00 AM,0,SUN,05/22/2022 12:00:00 AM,0:15,SUN,05/22/2022 12:00:00 AM,0:30,PL,CRIM POSS WEAP W/INT TO USE,11,2650102AM4,No,,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22108665,08/02/2022 12:00:00 AM,11,TUE,08/02/2022 12:00:00 AM,11:30,TUE,08/02/2022 12:00:00 AM,11:50,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22027618,02/27/2022 12:00:00 AM,12,SUN,02/27/2022 12:00:00 AM,12:30,SUN,02/27/2022 12:00:00 AM,12:35,PL,GR LAR 4 PROPERTY FROM PERSON,6,1553005EF4,No,ALL OTHER LARCENIES,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*21165569,12/06/2021 12:00:00 AM,12,THU,11/04/2021 12:00:00 AM,12:19,MON,12/06/2021 12:00:00 AM,17:00,PL,IDENTITY THEFT 3-ASSUME ANOTHER'S IDENTITY TO OBTAIN GOODS,20,1907801AM3,No,,FALSE,New Scotland / Woodlawn,POINT,-73.79535522,42.65720944,12208
APD*22045727,04/06/2022 12:00:00 AM,13,WED,04/06/2022 12:00:00 AM,13:38,WED,04/06/2022 12:00:00 AM,13:38,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22035842,03/17/2022 12:00:00 AM,0,THU,03/17/2022 12:00:00 AM,0:00,THU,03/17/2022 12:00:00 AM,0:51,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22027919,02/28/2022 12:00:00 AM,19,FRI,02/25/2022 12:00:00 AM,19:00,MON,02/28/2022 12:00:00 AM,10:44,PL,BURG:W/CRI INT - DWELLING,5,1402502CF2,No,,FALSE,Historic Pastures Homeowners Association,POINT,-73.75410644,42.64391573,12202
APD*22021372,02/14/2022 12:00:00 AM,12,MON,02/14/2022 12:00:00 AM,12:20,MON,02/14/2022 12:00:00 AM,12:40,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22036232,03/17/2022 12:00:00 AM,18,THU,03/17/2022 12:00:00 AM,18:50,THU,03/17/2022 12:00:00 AM,18:58,PL,CPW-2ND: LOADED FIREARM,11,2650303CF2,No,UNKNOWN,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22049442,04/13/2022 12:00:00 AM,14,WED,04/13/2022 12:00:00 AM,14:05,WED,04/13/2022 12:00:00 AM,14:10,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22021498,02/14/2022 12:00:00 AM,16,MON,02/14/2022 12:00:00 AM,16:50,MON,02/14/2022 12:00:00 AM,16:50,PL,ROB-2/PHY INJ OR DISP FRARM,3,1601002CF2,Yes,,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22027769,02/28/2022 12:00:00 AM,1,MON,02/28/2022 12:00:00 AM,1:55,MON,02/28/2022 12:00:00 AM,1:55,PL,ARSON - 2ND,8,1501500BF2,No,,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22108794,08/02/2022 12:00:00 AM,0,SAT,12/18/2021 12:00:00 AM,0:00,THU,07/28/2022 12:00:00 AM,23:59,PL,IDENTITY THEFT 1ST:ASSUME ANOTHER'S IDENTITY TO DEFRAUD,20,1908000DF1,No,,FALSE,Whitehall,POINT,-73.79891651,42.64610782,12209
APD*22036304,03/17/2022 12:00:00 AM,21,THU,03/17/2022 12:00:00 AM,21:53,THU,03/17/2022 12:00:00 AM,21:53,PL,ASSAULT -2ND,4,1200500DF2,No,PERSON DOM VIOLENCE,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22028170,02/28/2022 12:00:00 AM,16,MON,02/28/2022 12:00:00 AM,16:15,MON,02/28/2022 12:00:00 AM,16:15,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22036061,03/17/2022 12:00:00 AM,5,THU,03/17/2022 12:00:00 AM,5:00,THU,03/17/2022 12:00:00 AM,7:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM MOTOR VEHICLE,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*21165249,12/06/2021 12:00:00 AM,7,MON,12/06/2021 12:00:00 AM,7:50,MON,12/06/2021 12:00:00 AM,8:00,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22027791,02/28/2022 12:00:00 AM,3,MON,02/28/2022 12:00:00 AM,3:59,MON,02/28/2022 12:00:00 AM,3:59,PL,ASLT W/INT CAUS SERIOUS PH INJ,4,1200501DF2,No,PERSON DOM VIOLENCE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22036076,03/17/2022 12:00:00 AM,13,THU,03/17/2022 12:00:00 AM,13:13,THU,03/17/2022 12:00:00 AM,13:13,PL,AGG/HAR 2 CAUSES COMM. TO BE INITIATED,999,2403001BAM2,No,PERSON,FALSE,Melrose,POINT,-73.79907962,42.67270063,12203
